Item ID,SKU,Batch ID,Shelf,Sequence,Rare flag,Review flag,Title,Release year,Edition,Distributor,Barcode,Condition,Condition notes,Price,Discount percent,Quantity,Tags,Product type,Vendor,Description,Image folder,Image count,Recognition provider,Recognition confidence,Review status,Ready status,Validation errors,Shopify status,Shopify product ID,Shopify variant ID,Shopify inventory item ID,Shopify admin URL,Last error,Retry count
20260724-191217-V051-PILOT-B2-001,20260724-191217-V051-PILOT-B2-001,20260724-191217-V051-PILOT,B2,1,FALSE,FALSE,VHS 001 — Corrected in v0.5.1,1991,Standard VHS,Demo Distributor,,Not Graded,,18.49,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-002,20260724-191217-V051-PILOT-B2-002,20260724-191217-V051-PILOT,B2,2,TRUE,TRUE,Demo VHS 002,1992,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-003,20260724-191217-V051-PILOT-B2-003,20260724-191217-V051-PILOT,B2,3,FALSE,FALSE,Demo VHS 003,1993,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-004,20260724-191217-V051-PILOT-B2-004,20260724-191217-V051-PILOT,B2,4,FALSE,FALSE,Demo VHS 004,1994,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-005,20260724-191217-V051-PILOT-B2-005,20260724-191217-V051-PILOT,B2,5,FALSE,FALSE,Demo VHS 005,1995,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-006,20260724-191217-V051-PILOT-B2-006,20260724-191217-V051-PILOT,B2,6,FALSE,FALSE,Demo VHS 006,1996,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-007,20260724-191217-V051-PILOT-B2-007,20260724-191217-V051-PILOT,B2,7,FALSE,FALSE,Demo VHS 007,1997,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-008,20260724-191217-V051-PILOT-B2-008,20260724-191217-V051-PILOT,B2,8,FALSE,FALSE,Demo VHS 008,1998,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-009,20260724-191217-V051-PILOT-B2-009,20260724-191217-V051-PILOT,B2,9,FALSE,FALSE,Demo VHS 009,1999,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-010,20260724-191217-V051-PILOT-B2-010,20260724-191217-V051-PILOT,B2,10,FALSE,FALSE,Demo VHS 010,1990,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-011,20260724-191217-V051-PILOT-B2-011,20260724-191217-V051-PILOT,B2,11,FALSE,FALSE,Demo VHS 011,1991,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-012,20260724-191217-V051-PILOT-B2-012,20260724-191217-V051-PILOT,B2,12,FALSE,FALSE,Demo VHS 012,1992,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-013,20260724-191217-V051-PILOT-B2-013,20260724-191217-V051-PILOT,B2,13,FALSE,FALSE,Demo VHS 013,1993,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-014,20260724-191217-V051-PILOT-B2-014,20260724-191217-V051-PILOT,B2,14,FALSE,FALSE,Demo VHS 014,1994,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-015,20260724-191217-V051-PILOT-B2-015,20260724-191217-V051-PILOT,B2,15,FALSE,FALSE,Demo VHS 015,1995,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-016,20260724-191217-V051-PILOT-B2-016,20260724-191217-V051-PILOT,B2,16,FALSE,FALSE,Demo VHS 016,1996,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-017,20260724-191217-V051-PILOT-B2-017,20260724-191217-V051-PILOT,B2,17,FALSE,FALSE,Demo VHS 017,1997,Standard VHS,Demo Distributor,,Not Graded,,9.99,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-018,20260724-191217-V051-PILOT-B2-018,20260724-191217-V051-PILOT,B2,18,FALSE,FALSE,Demo VHS 018,1998,Standard VHS,Demo Distributor,,Not Graded,,18.49,0,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-019,20260724-191217-V051-PILOT-B2-019,20260724-191217-V051-PILOT,B2,19,FALSE,FALSE,Demo VHS 019,1999,Standard VHS,Demo Distributor,,Not Graded,,9.99,10,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260724-191217-V051-PILOT-B2-020,20260724-191217-V051-PILOT-B2-020,20260724-191217-V051-PILOT,B2,20,FALSE,FALSE,Demo VHS 020,1990,Standard VHS,Demo Distributor,,Not Graded,,21.99,15,1,,VHS Tape,Canada VHS,,/mnt/data/SnapIMS-v0.5.1/operator-audit-assets/v0.5.1-browser/workspace/processed/20260724-191217-V051-PILOT/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
