Issue ID,Severity,Area,Finding,Reproduction,Impact,Required Fix,Release Blocker
QA-0130-001,Critical,Database durability,"Long-run execution retains large numbers of SQLite/WAL file descriptors until the process exhausts its open-file limit.","Run the complete 266-test suite in one process. The completed run ends with Errno 24 and sqlite3 unable-to-open errors. A monitored rerun reached 331 FDs by 54%; most were inventory.sqlite3/WAL handles from prior tests.","A long-running operator session or repeated imports/reviews can eventually fail database operations and unrelated file access.","Audit every connection owner; explicitly close SQLite connections in finally/context-managed helpers; stop retaining completed-job resources; add an FD-growth regression test across repeated workflows.",YES
QA-0130-002,High,Import concurrency,"The same source folder can start two independent preview jobs and both can reach READY; concurrent commits collide on the same staging directory.","Open Import in two tabs, select QA-RACE-DUPLICATE in both, submit Preview simultaneously, then commit both. One job imports; the second fails with FileNotFoundError renaming .staging-31e81a87b8d0b773.","Operators can create a failed job from a normal double-submit/two-tab action; staging integrity and restart recovery become ambiguous.","Add a database-backed active-job uniqueness guard per canonical folder identity; make Preview and Commit idempotent; return the existing job instead of creating a duplicate.",YES
QA-0130-003,High,Installer and launcher,"snapims up can continue launching an older project/service after v0.13.0 installation.","Owner machine: snapims version returned 0.13.0, but snapims up launched /home/isaiah/Projects/SnapIMS and logged SnapIMS 0.12.3 starting. The old code then refused schema 14 and Home returned HTTP 500.","Upgrade can render the application unavailable immediately after a successful database migration.","Installer must detect and replace/rewrite existing service and launcher paths, show the resolved executable/project path, refuse mixed code/schema startup, and verify Home after installation.",YES
QA-0130-004,High,Batch Editor performance,"Batch Editor performs full-table server rendering and sends every item plus JSON to the browser.","Load synthetic batches: 1,000 rows took 3.020 s DOMContentLoaded and 4,527,628 bytes; 5,000 rows took 11.593 s and 22,664,709 bytes. Route calls list_editor_items without paging.","Large batches freeze or heavily delay an older 8 GB workstation and violate the release requirement against full-table rendering.","Implement server-side pagination or bounded lazy loading, preserve selection semantics across pages, and keep normal navigation under one second.",YES
QA-0130-005,Medium,Batch Editor UX,"Fill Down explicitly rejects Tags.","Focus a Tags cell, select destination rows, press Fill Down. Toast: Fill Down is not supported for tag_ids.","A common batch operation requires repetitive per-row entry or a separate bulk-action workflow.","Map tag_ids to a validated atomic set/copy-tags action using immutable approved Tag IDs and add browser coverage.",NO
QA-0130-006,Medium,Batch Editor UX,"Fill Down for Location is broken by a stale field identifier.","Focus Location and press Fill Down. Toast: Fill Down is not supported for location. The JavaScript map contains shelf: set_location while the UI field is location.","The primary batch-location workflow cannot use the advertised spreadsheet-style command.","Replace the stale shelf key with location, normalize blank/None to unassigned, preserve location history, and add tests.",NO
QA-0130-007,Medium,Batch Editor UX,"Fill Down rejects Review and Rare checkbox columns.","Focus Review or Rare and press Fill Down. Toast reports unsupported field.","Operators cannot propagate common review flags through the same workflow used by other columns.","Add safe boolean fill-down actions with clear source-state copying, atomic updates, audit entries, and tests.",NO
QA-0130-008,Medium,Keyboard accessibility,"Horizontal arrow navigation stops at the Tags column.","Place the caret at the end of Price and press ArrowRight; focus remains price_cents. Press ArrowLeft from Discount; focus remains discount_percent.","Keyboard operators cannot traverse the complete row and may believe a command was ignored.","In moveHorizontal, route tag-picker targets through focusTagInput like focusSameField already does; add left/right browser tests.",NO
QA-0130-009,Medium,Bulk-edit safety,"Selected rows remain armed after filtering hides them.","Search to show one row, select it, then change the filter/search so zero rows are visible. Counter remains 1 selected and bulk actions still target the invisible row.","An operator can change hidden inventory without seeing the destination rows.","Clear hidden selections on filter changes or explicitly show hidden-selected count and require confirmation before applying a bulk action.",NO
QA-0130-010,Low,Terminology,"Bulk Location help text still says it moves tapes to a shelf.","Open the Bulk Location action. Description: Moves selected tapes to this shelf, while v0.13.0 accepts arbitrary free-text locations and unassigned.","Stale wording contradicts the new folder/location model and can mislead first-time operators.","Replace shelf-specific wording throughout current UI and documentation with location/unassigned terminology.",NO
