Item ID,SKU,Batch ID,Shelf,Sequence,Rare flag,Review flag,Title,Release year,Edition,Distributor,Barcode,Condition,Condition notes,Price,Discount percent,Quantity,Tags,Product type,Vendor,Description,Image folder,Image count,Recognition provider,Recognition confidence,Review status,Ready status,Validation errors,Shopify status,Shopify product ID,Shopify variant ID,Shopify inventory item ID,Shopify admin URL,Last error,Retry count,Local Movie ID,Canonical Movie title,Original Movie title,Film release year,Runtime minutes,Director,Country,Language,Genre,Catalog match status,Source page URL,Provenance status
20260725-115650-A1-001,20260725-115650-A1-001,20260725-115650,A1,1,FALSE,FALSE,Gremlins,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,,,DONE,TRUE,,NOT_UPLOADED,,,,,,0,MOV-00000001,Gremlins,,1984,106,Joe Dante,United States,English,Comedy Horror,NEW_WIKIPEDIA_RECORD,https://en.wikipedia.org/wiki/Gremlins,SOURCE_RECORDED
20260725-115650-A1-002,20260725-115650-A1-002,20260725-115650,A1,2,TRUE,TRUE,Demo VHS 002,1992,Standard VHS,Demo Distributor,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0,,,,,,,,,,NOT_FOUND,,PENDING
20260725-115650-A1-003,20260725-115650-A1-003,20260725-115650,A1,3,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0,,,,,,,,,,NOT_FOUND,,PENDING
20260725-115650-A1-004,20260725-115650-A1-004,20260725-115650,A1,4,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0,,,,,,,,,,NOT_FOUND,,PENDING
20260725-115650-A1-005,20260725-115650-A1-005,20260725-115650,A1,5,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0,,,,,,,,,,NOT_FOUND,,PENDING
20260725-115650-A1-006,20260725-115650-A1-006,20260725-115650,A1,6,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0,,,,,,,,,,NOT_FOUND,,PENDING
20260725-115650-A1-007,20260725-115650-A1-007,20260725-115650,A1,7,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0,,,,,,,,,,NOT_FOUND,,PENDING
20260725-115650-A1-008,20260725-115650-A1-008,20260725-115650,A1,8,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0,,,,,,,,,,NOT_FOUND,,PENDING
20260725-115650-A1-009,20260725-115650-A1-009,20260725-115650,A1,9,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0,,,,,,,,,,NOT_FOUND,,PENDING
20260725-115650-A1-010,20260725-115650-A1-010,20260725-115650,A1,10,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v070/SnapIMS-v0.6.1/release-evidence/v0.7.0/browser/workspace/processed/20260725-115650/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0,,,,,,,,,,NOT_FOUND,,PENDING
