Item ID,SKU,Batch ID,Shelf,Sequence,Rare flag,Review flag,Title,Release year,Edition,Distributor,Barcode,Condition,Condition notes,Price,Discount percent,Quantity,Tags,Product type,Vendor,Description,Image folder,Image count,Recognition provider,Recognition confidence,Review status,Ready status,Validation errors,Shopify status,Shopify product ID,Shopify variant ID,Shopify inventory item ID,Shopify admin URL,Last error,Retry count
20260725-093234-A1-001,20260725-093234-A1-001,20260725-093234,A1,1,FALSE,FALSE,Demo VHS 001,1991,Standard VHS,Demo Distributor,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,mock,0.91,DONE,TRUE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-002,20260725-093234-A1-002,20260725-093234,A1,2,TRUE,TRUE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-003,20260725-093234-A1-003,20260725-093234,A1,3,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-004,20260725-093234-A1-004,20260725-093234,A1,4,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-005,20260725-093234-A1-005,20260725-093234,A1,5,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-006,20260725-093234-A1-006,20260725-093234,A1,6,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-007,20260725-093234-A1-007,20260725-093234,A1,7,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-008,20260725-093234-A1-008,20260725-093234,A1,8,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-009,20260725-093234-A1-009,20260725-093234,A1,9,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
20260725-093234-A1-010,20260725-093234-A1-010,20260725-093234,A1,10,FALSE,FALSE,,,,,,Not Graded,,4.00,0,1,,VHS Tape,Canada VHS,,/mnt/data/work_snapims_v061/SnapIMS-v0.6.0/release-evidence/v0.6.1/browser/workspace/processed/20260725-093234/images,2,,,UNFINISHED,FALSE,,NOT_UPLOADED,,,,,,0
